Name,Position,Phone,Address,gender,Salary,employee_id
Frank Schroeder,Assistant,(256)621-6256,"6673 Ronald Meadow Apt. 915
Stephenshire, NV 03531",M,37000,1
Phillip Myers,Assistant,001-681-678-4994,"44531 Autumn Lodge Suite 176
Sheilamouth, ID 53101",F,29000,2
Stephanie Miller,Hostess,389.430.3517x790,"088 Tiffany Expressway Apt. 713
Pricechester, GA 63001",F,40000,3
Elizabeth Curtis,Pilot,818-939-3962,"18057 Anderson Wells Suite 952
West Andrewborough, MO 14684",F,84000,4
Kevin Gentry,Assistant,438.445.2658x03781,"0058 Armstrong Views Suite 080
Sharonton, LA 79153",M,34000,5
Kari Webster,Assistant,001-714-722-7159,"0095 Jennifer Villages
Floreshaven, WA 12220",F,26000,6
Frances Gordon,Assistant,345-967-3966,"2101 Matthew Spring
Lake Sherryberg, DE 81379",M,37000,7
Darlene Harris,Hostess,+1-937-352-8079x25726,"410 Breanna Center
Mirandabury, AK 80385",F,52000,8
Nicholas Goodwin,Pilot,819.217.4270,"619 Fields Orchard Suite 220
South Jessica, GA 75796",M,72000,9
Jacob King,Hostess,(729)302-9952,"87422 Julian Mill Suite 586
New Donna, PA 33422",F,34000,10
Amanda White,Assistant,(399)705-4767x71650,"867 Howard Mill Suite 088
West Terriburgh, NJ 28546",M,30000,11
Taylor Jenkins,Hostess,649-506-1920,"68096 Kevin Mission
Byrdfurt, IA 11555",F,52000,12
Travis Olson,Hostess,597.500.3471,"648 Edward Islands Suite 032
West Barbara, IN 05138",F,54000,13
Kendra Wagner,Pilot,001-683-466-1575x218,"83033 Karen Manors
Carolynmouth, TN 25976",M,71000,14
Lisa Maynard,Assistant,001-952-540-2923,"616 Kerry Parks
Longshire, WV 01999",M,33000,15
Kyle Edwards,Hostess,939-295-3756x92636,"721 Jose Stravenue Apt. 839
New Stevenbury, AS 22597",M,36000,16
Elizabeth Grimes MD,Assistant,001-902-291-4806,"662 Carroll Shoal Apt. 963
Shawnport, PW 03033",M,36000,17
Jorge Howell,Pilot,(951)425-0966x7331,"5117 William Heights Suite 271
Floydberg, NV 01261",F,120000,18
Jose Butler,Assistant,777-826-6538,"1766 Rowland Squares Suite 238
North Brian, GA 87254",F,31000,19
Ryan Cox,Pilot,+1-226-494-0389x873,"USNS Freeman
FPO AE 06524",F,84000,20
Troy Davis,Hostess,5436014657,"856 Medina Inlet Apt. 383
Danielborough, FL 79475",M,60000,21
